Cloning into '/kaggle/working/EXXA'...
Updating files: 100% (5081/5081), done.

cwd: /kaggle/working/EXXA/DENOISING_DIFFUSION/notebooks | DATA_DIR: /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data

From https://github.com/KrishanYadav333/EXXA
 * branch            line-emission -> FETCH_HEAD

HEAD is now at 09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
src.* cleared from module cache ├óΓé¼ΓÇ¥ now re-run the imports cell below.

device: cuda | GPUs: 2 -> ['Tesla T4', 'Tesla T4']

======================================================================
CUBE-LEVEL SPLIT (grouped by RunID — no channel-level leakage)
======================================================================
  data_dir          : /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data
  total cubes       : 14  across 11 distinct RunIDs
  seed=42  n_holdout=3  val_fraction=0.2
----------------------------------------------------------------------
  TRAIN   :  7 cubes | RunIDs ['0006', '0010', '0020', '0022', '0030', '0035']
  VAL     :  2 cubes | RunIDs ['0016', '0036']
  HOLDOUT :  5 cubes | RunIDs ['0002', '0025', '0026']  <-- inference only, NEVER trained/validated
----------------------------------------------------------------------
  HOLDOUT cube folders (reserved for moment-map evaluation):
    - run_0002_00560_rt_00
    - run_0002_00560_rt_01
    - run_0002_00560_rt_04
    - run_0025_01000_rt_04
    - run_0026_00005_rt_04
======================================================================

[FITSChannelDataset] 7 cubes x ~50 channels = 350 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
[FITSChannelDataset] 2 cubes x ~50 channels = 100 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
train items: 350 | val items: 100

per-cube beam vectors [sin2BPA, cos2BPA, bmaj", bmin"]:
  run_0006_00170_rt_00         [-0.35688, 0.93415, 0.16325, 0.14323]
  run_0010_00125_rt_01         [-0.88444, -0.46665, 0.178, 0.11162]
  run_0010_00125_rt_02         [0.99896, 0.04559, 0.10449, 0.09915]
  run_0020_01000_rt_02         [-0.45252, -0.89175, 0.14064, 0.10718]
  run_0022_00155_rt_03         [0.99906, 0.04339, 0.13931, 0.13261]
  run_0030_00015_rt_00         [-0.99632, 0.08566, 0.1538, 0.12479]
  run_0035_00025_rt_01         [0.78691, 0.61707, 0.15059, 0.14761]

=== control (no beam) ===
  ep   1 | train 0.2116 | val 0.0537 | lr 1.0e-03 (19s) *best
  ep  10 | train 0.0048 | val 0.0059 | lr 7.4e-04 (13s) *best
  ep  11 | train 0.0042 | val 0.0048 | lr 7.4e-04 (13s) *best
  ep  12 | train 0.0039 | val 0.0046 | lr 7.4e-04 (13s) *best
  ep  13 | train 0.0037 | val 0.0045 | lr 7.4e-04 (13s) *best
  ep  14 | train 0.0036 | val 0.0045 | lr 7.4e-04 (13s) *best
  ep  15 | train 0.0033 | val 0.0043 | lr 7.4e-04 (13s) *best
  ep  16 | train 0.0033 | val 0.0042 | lr 7.4e-04 (13s) *best
  ep  17 | train 0.0031 | val 0.0036 | lr 7.4e-04 (13s) *best
  ep  18 | train 0.0031 | val 0.0036 | lr 7.4e-04 (13s)
  ep  19 | train 0.0028 | val 0.0035 | lr 7.4e-04 (13s) *best
  ep  20 | train 0.0027 | val 0.0032 | lr 7.4e-04 (13s) *best
  ep  21 | train 0.0028 | val 0.0032 | lr 7.4e-04 (13s) *best
  ep  22 | train 0.0029 | val 0.0032 | lr 7.4e-04 (13s)
  ep  23 | train 0.0028 | val 0.0034 | lr 7.4e-04 (13s)
  ep  24 | train 0.0027 | val 0.0030 | lr 7.4e-04 (13s) *best
  ep  25 | train 0.0022 | val 0.0029 | lr 7.4e-04 (13s) *best
  ep  26 | train 0.0025 | val 0.0034 | lr 7.4e-04 (13s)
  ep  27 | train 0.0023 | val 0.0030 | lr 7.4e-04 (13s)
  ep  28 | train 0.0020 | val 0.0026 | lr 7.4e-04 (13s) *best
  ep  29 | train 0.0019 | val 0.0025 | lr 7.4e-04 (13s) *best
  ep  30 | train 0.0018 | val 0.0027 | lr 7.4e-04 (13s)
  ep  31 | train 0.0018 | val 0.0023 | lr 7.4e-04 (13s) *best
  ep  32 | train 0.0019 | val 0.0025 | lr 7.4e-04 (13s)
  ep  33 | train 0.0017 | val 0.0023 | lr 7.4e-04 (13s)
  ep  34 | train 0.0016 | val 0.0023 | lr 7.4e-04 (13s) *best
  ep  35 | train 0.0017 | val 0.0023 | lr 7.4e-04 (13s) *best
  ep  36 | train 0.0016 | val 0.0023 | lr 7.4e-04 (13s)
  ep  37 | train 0.0017 | val 0.0023 | lr 7.4e-04 (13s)
  ep  38 | train 0.0018 | val 0.0024 | lr 7.4e-04 (13s)
  ep  39 | train 0.0018 | val 0.0024 | lr 3.7e-04 (13s)
  ep  40 | train 0.0017 | val 0.0022 | lr 3.7e-04 (13s) *best
  ep  41 | train 0.0015 | val 0.0024 | lr 3.7e-04 (13s)
  ep  42 | train 0.0015 | val 0.0020 | lr 3.7e-04 (13s) *best
  ep  43 | train 0.0014 | val 0.0019 | lr 3.7e-04 (13s) *best
  ep  44 | train 0.0015 | val 0.0022 | lr 3.7e-04 (13s)
  ep  45 | train 0.0014 | val 0.0019 | lr 3.7e-04 (13s)
  ep  46 | train 0.0014 | val 0.0020 | lr 3.7e-04 (13s)
  ep  47 | train 0.0014 | val 0.0020 | lr 1.9e-04 (13s)
  ep  48 | train 0.0013 | val 0.0020 | lr 1.9e-04 (13s)
  early stop at epoch 48 (no improvement for 5 epochs)

=== sweep run 5/12: {'base_channels': 64, 'channel_multipliers': (1, 2, 2, 4), 'lr': 0.0002573058527237573, 'alpha': 0.596891192948415, 'sched_patience': 5, 'use_beam': False} ===
  [OOM] retrying at batch 16
  ep   1 | train 0.4217 | val 0.3892 | lr 2.6e-04 (31s) *best
  ep   2 | train 0.1033 | val 0.0385 | lr 2.6e-04 (31s) *best
  ep   3 | train 0.0212 | val 0.0146 | lr 2.6e-04 (31s) *best
  ep   4 | train 0.0122 | val 0.0124 | lr 2.6e-04 (31s) *best
  ep   5 | train 0.0110 | val 0.0118 | lr 2.6e-04 (31s) *best
  ep   6 | train 0.0089 | val 0.0087 | lr 2.6e-04 (31s) *best
  ep   7 | train 0.0072 | val 0.0111 | lr 2.6e-04 (31s)
  ep   8 | train 0.0074 | val 0.0090 | lr 2.6e-04 (31s)
  ep   9 | train 0.0060 | val 0.0077 | lr 2.6e-04 (31s) *best
  ep  10 | train 0.0055 | val 0.0074 | lr 2.6e-04 (31s) *best
  ep  11 | train 0.0055 | val 0.0079 | lr 2.6e-04 (31s)
  ep  12 | train 0.0057 | val 0.0074 | lr 2.6e-04 (31s) *best
  ep  13 | train 0.0060 | val 0.0067 | lr 2.6e-04 (31s) *best
  ep  14 | train 0.0050 | val 0.0073 | lr 2.6e-04 (31s)
  ep  15 | train 0.0050 | val 0.0071 | lr 2.6e-04 (31s)
  ep  16 | train 0.0046 | val 0.0055 | lr 2.6e-04 (31s) *best
  ep  17 | train 0.0041 | val 0.0060 | lr 2.6e-04 (31s)
  ep  18 | train 0.0041 | val 0.0055 | lr 2.6e-04 (31s) *best
  ep  19 | train 0.0043 | val 0.0059 | lr 2.6e-04 (31s)
  ep  20 | train 0.0046 | val 0.0053 | lr 2.6e-04 (31s) *best
  ep  21 | train 0.0043 | val 0.0052 | lr 2.6e-04 (31s) *best
  ep  22 | train 0.0037 | val 0.0050 | lr 2.6e-04 (31s) *best
  ep  23 | train 0.0036 | val 0.0053 | lr 2.6e-04 (31s)
  ep  24 | train 0.0040 | val 0.0055 | lr 2.6e-04 (31s)
  ep  25 | train 0.0035 | val 0.0053 | lr 2.6e-04 (31s)
  ep  26 | train 0.0039 | val 0.0043 | lr 2.6e-04 (31s) *best
  ep  27 | train 0.0033 | val 0.0044 | lr 2.6e-04 (31s)
  ep  28 | train 0.0034 | val 0.0043 | lr 2.6e-04 (31s)
  ep  29 | train 0.0034 | val 0.0049 | lr 2.6e-04 (31s)
  ep  30 | train 0.0032 | val 0.0039 | lr 2.6e-04 (31s) *best
  ep  31 | train 0.0030 | val 0.0042 | lr 2.6e-04 (31s)
  ep  32 | train 0.0029 | val 0.0041 | lr 2.6e-04 (31s)
  ep  33 | train 0.0029 | val 0.0041 | lr 2.6e-04 (31s)
  ep  34 | train 0.0029 | val 0.0037 | lr 2.6e-04 (31s) *best
  ep  35 | train 0.0030 | val 0.0053 | lr 2.6e-04 (31s)
  ep  36 | train 0.0033 | val 0.0037 | lr 2.6e-04 (31s) *best
  ep  37 | train 0.0027 | val 0.0037 | lr 2.6e-04 (31s)
  ep  38 | train 0.0029 | val 0.0041 | lr 2.6e-04 (31s)
  ep  39 | train 0.0032 | val 0.0041 | lr 2.6e-04 (31s)
  ep  40 | train 0.0029 | val 0.0050 | lr 2.6e-04 (31s)
  ep  41 | train 0.0055 | val 0.0058 | lr 2.6e-04 (31s)
  early stop at epoch 41 (no improvement for 5 epochs)

=== sweep run 6/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 2, 4), 'lr': 0.00013895104455352136, 'alpha': 0.8813724648563568, 'sched_patience': 8, 'use_beam': True} ===
  ep   1 | train 0.1724 | val 0.0878 | lr 1.4e-04 (8s) *best
  ep   2 | train 0.0519 | val 0.0414 | lr 1.4e-04 (8s) *best
  ep   3 | train 0.0260 | val 0.0268 | lr 1.4e-04 (8s) *best
  ep   4 | train 0.0186 | val 0.0233 | lr 1.4e-04 (8s) *best
  ep   5 | train 0.0145 | val 0.0183 | lr 1.4e-04 (8s) *best
  ep   6 | train 0.0120 | val 0.0156 | lr 1.4e-04 (8s) *best
  ep   7 | train 0.0102 | val 0.0128 | lr 1.4e-04 (8s) *best
  ep   8 | train 0.0088 | val 0.0108 | lr 1.4e-04 (8s) *best
  ep   9 | train 0.0078 | val 0.0097 | lr 1.4e-04 (8s) *best
  ep  10 | train 0.0070 | val 0.0087 | lr 1.4e-04 (8s) *best
  ep  11 | train 0.0066 | val 0.0081 | lr 1.4e-04 (8s) *best
  ep  12 | train 0.0062 | val 0.0076 | lr 1.4e-04 (8s) *best
  ep  13 | train 0.0059 | val 0.0071 | lr 1.4e-04 (8s) *best
  ep  14 | train 0.0056 | val 0.0068 | lr 1.4e-04 (8s) *best
  ep  15 | train 0.0055 | val 0.0070 | lr 1.4e-04 (8s)
  ep  16 | train 0.0055 | val 0.0065 | lr 1.4e-04 (8s) *best
  ep  17 | train 0.0052 | val 0.0063 | lr 1.4e-04 (8s) *best
  ep  18 | train 0.0050 | val 0.0059 | lr 1.4e-04 (8s) *best
  ep  19 | train 0.0047 | val 0.0057 | lr 1.4e-04 (8s) *best
  ep  20 | train 0.0045 | val 0.0055 | lr 1.4e-04 (8s) *best
  ep  21 | train 0.0043 | val 0.0054 | lr 1.4e-04 (8s) *best
  ep  22 | train 0.0044 | val 0.0062 | lr 1.4e-04 (8s)
  ep  23 | train 0.0048 | val 0.0057 | lr 1.4e-04 (8s)
  ep  24 | train 0.0044 | val 0.0054 | lr 1.4e-04 (8s)
  ep  25 | train 0.0043 | val 0.0055 | lr 1.4e-04 (8s)
  ep  26 | train 0.0042 | val 0.0050 | lr 1.4e-04 (8s) *best
  ep  27 | train 0.0040 | val 0.0048 | lr 1.4e-04 (8s) *best
  ep  28 | train 0.0038 | val 0.0047 | lr 1.4e-04 (9s) *best
  ep  29 | train 0.0039 | val 0.0048 | lr 1.4e-04 (8s)
  ep  30 | train 0.0037 | val 0.0046 | lr 1.4e-04 (8s) *best
  ep  31 | train 0.0035 | val 0.0044 | lr 1.4e-04 (8s) *best
  ep  32 | train 0.0034 | val 0.0042 | lr 1.4e-04 (8s) *best
  ep  33 | train 0.0032 | val 0.0039 | lr 1.4e-04 (8s) *best
  ep  34 | train 0.0032 | val 0.0044 | lr 1.4e-04 (8s)
  ep  35 | train 0.0033 | val 0.0040 | lr 1.4e-04 (8s)
  ep  36 | train 0.0032 | val 0.0037 | lr 1.4e-04 (8s) *best
  ep  37 | train 0.0032 | val 0.0040 | lr 1.4e-04 (8s)
  ep  38 | train 0.0030 | val 0.0036 | lr 1.4e-04 (8s) *best
  ep  39 | train 0.0028 | val 0.0034 | lr 1.4e-04 (8s) *best
  ep  40 | train 0.0027 | val 0.0033 | lr 1.4e-04 (8s) *best
  ep  41 | train 0.0025 | val 0.0031 | lr 1.4e-04 (8s) *best
  ep  42 | train 0.0024 | val 0.0031 | lr 1.4e-04 (8s) *best
  ep  43 | train 0.0024 | val 0.0030 | lr 1.4e-04 (8s) *best
  ep  44 | train 0.0026 | val 0.0032 | lr 1.4e-04 (8s)
  ep  45 | train 0.0024 | val 0.0031 | lr 1.4e-04 (8s)
  ep  46 | train 0.0025 | val 0.0030 | lr 1.4e-04 (8s) *best
  ep  47 | train 0.0025 | val 0.0028 | lr 1.4e-04 (8s) *best
  ep  48 | train 0.0023 | val 0.0029 | lr 1.4e-04 (8s)
  ep  49 | train 0.0022 | val 0.0027 | lr 1.4e-04 (8s) *best
  ep  50 | train 0.0021 | val 0.0027 | lr 1.4e-04 (8s)
  ep  51 | train 0.0022 | val 0.0027 | lr 1.4e-04 (8s)
  ep  52 | train 0.0020 | val 0.0026 | lr 1.4e-04 (8s) *best
  ep  53 | train 0.0019 | val 0.0026 | lr 1.4e-04 (8s) *best
  ep  54 | train 0.0020 | val 0.0026 | lr 1.4e-04 (8s)
  ep  55 | train 0.0021 | val 0.0027 | lr 1.4e-04 (8s)
  ep  56 | train 0.0020 | val 0.0024 | lr 1.4e-04 (8s) *best
  ep  57 | train 0.0018 | val 0.0023 | lr 1.4e-04 (8s) *best
  ep  58 | train 0.0018 | val 0.0024 | lr 1.4e-04 (8s)
  ep  59 | train 0.0017 | val 0.0023 | lr 1.4e-04 (8s) *best
  ep  60 | train 0.0017 | val 0.0022 | lr 1.4e-04 (8s) *best

=== sweep run 7/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 4, 8), 'lr': 0.0004771184981345435, 'alpha': 0.5561717732839442, 'sched_patience': 5, 'use_beam': False} ===
  ep   1 | train 0.3436 | val 0.0832 | lr 4.8e-04 (9s) *best
  ep   2 | train 0.0547 | val 0.0536 | lr 4.8e-04 (9s) *best
  ep   3 | train 0.0387 | val 0.0483 | lr 4.8e-04 (9s) *best
  ep   4 | train 0.0317 | val 0.0402 | lr 4.8e-04 (9s) *best
  ep   5 | train 0.0308 | val 0.0428 | lr 4.8e-04 (9s)
  ep   6 | train 0.0259 | val 0.0323 | lr 4.8e-04 (9s) *best
  ep   7 | train 0.0223 | val 0.0305 | lr 4.8e-04 (9s) *best
  ep   8 | train 0.0204 | val 0.0275 | lr 4.8e-04 (9s) *best
  ep   9 | train 0.0181 | val 0.0241 | lr 4.8e-04 (9s) *best
  ep  10 | train 0.0153 | val 0.0196 | lr 4.8e-04 (9s) *best
  ep  11 | train 0.0132 | val 0.0167 | lr 4.8e-04 (9s) *best
  ep  12 | train 0.0126 | val 0.0161 | lr 4.8e-04 (9s) *best
  ep  13 | train 0.0122 | val 0.0157 | lr 4.8e-04 (9s) *best
  ep  14 | train 0.0112 | val 0.0146 | lr 4.8e-04 (9s) *best
  ep  15 | train 0.0107 | val 0.0132 | lr 4.8e-04 (9s) *best
  ep  16 | train 0.0102 | val 0.0126 | lr 4.8e-04 (9s) *best
  ep  17 | train 0.0102 | val 0.0138 | lr 4.8e-04 (9s)
  ep  18 | train 0.0099 | val 0.0119 | lr 4.8e-04 (9s) *best
  ep  19 | train 0.0090 | val 0.0119 | lr 4.8e-04 (9s) *best
  ep  20 | train 0.0087 | val 0.0112 | lr 4.8e-04 (9s) *best
  ep  21 | train 0.0082 | val 0.0122 | lr 4.8e-04 (9s)
  ep  22 | train 0.0084 | val 0.0108 | lr 4.8e-04 (9s) *best
  ep  23 | train 0.0082 | val 0.0098 | lr 4.8e-04 (9s) *best
  ep  24 | train 0.0075 | val 0.0098 | lr 4.8e-04 (9s) *best
  ep  25 | train 0.0071 | val 0.0093 | lr 4.8e-04 (9s) *best
  ep  26 | train 0.0068 | val 0.0087 | lr 4.8e-04 (9s) *best
  ep  27 | train 0.0069 | val 0.0106 | lr 4.8e-04 (10s)
  ep  28 | train 0.0070 | val 0.0084 | lr 4.8e-04 (9s) *best
  ep  29 | train 0.0064 | val 0.0078 | lr 4.8e-04 (9s) *best
  ep  30 | train 0.0063 | val 0.0085 | lr 4.8e-04 (9s)
  ep  31 | train 0.0061 | val 0.0075 | lr 4.8e-04 (9s) *best
  ep  32 | train 0.0057 | val 0.0075 | lr 4.8e-04 (9s) *best
  ep  33 | train 0.0053 | val 0.0067 | lr 4.8e-04 (9s) *best
  ep  34 | train 0.0053 | val 0.0075 | lr 4.8e-04 (9s)
  ep  35 | train 0.0058 | val 0.0075 | lr 4.8e-04 (9s)
  ep  36 | train 0.0057 | val 0.0070 | lr 4.8e-04 (9s)
  ep  37 | train 0.0053 | val 0.0077 | lr 4.8e-04 (9s)
  ep  38 | train 0.0053 | val 0.0067 | lr 4.8e-04 (9s)
  early stop at epoch 38 (no improvement for 5 epochs)

=== sweep run 8/12: {'base_channels': 48, 'channel_multipliers': (1, 2, 4, 8), 'lr': 0.0008196504330730313, 'alpha': 0.8877681051398497, 'sched_patience': 8, 'use_beam': False} ===
  [OOM] retrying at batch 16
  ep   1 | train 0.0919 | val 0.0266 | lr 8.2e-04 (31s) *best
  ep   2 | train 0.0136 | val 0.0123 | lr 8.2e-04 (31s) *best
  ep   3 | train 0.0084 | val 0.0236 | lr 8.2e-04 (31s)
  ep   4 | train 0.0137 | val 0.0115 | lr 8.2e-04 (31s) *best
  ep   5 | train 0.0075 | val 0.0051 | lr 8.2e-04 (31s) *best
  ep   6 | train 0.0045 | val 0.0051 | lr 8.2e-04 (31s) *best
  ep   7 | train 0.0088 | val 0.0125 | lr 8.2e-04 (31s)
  ep   8 | train 0.0059 | val 0.0065 | lr 8.2e-04 (31s)
  ep   9 | train 0.0043 | val 0.0049 | lr 8.2e-04 (31s) *best
  ep  10 | train 0.0037 | val 0.0044 | lr 8.2e-04 (31s) *best
  ep  11 | train 0.0037 | val 0.0038 | lr 8.2e-04 (31s) *best
  ep  12 | train 0.0028 | val 0.0030 | lr 8.2e-04 (31s) *best
  ep  13 | train 0.0026 | val 0.0030 | lr 8.2e-04 (31s) *best
  ep  14 | train 0.0026 | val 0.0032 | lr 8.2e-04 (31s)
  ep  15 | train 0.0022 | val 0.0024 | lr 8.2e-04 (31s) *best
  ep  16 | train 0.0023 | val 0.0023 | lr 8.2e-04 (31s) *best
  ep  17 | train 0.0018 | val 0.0021 | lr 8.2e-04 (31s) *best
  ep  18 | train 0.0017 | val 0.0022 | lr 8.2e-04 (31s)
  ep  19 | train 0.0018 | val 0.0024 | lr 8.2e-04 (31s)
  ep  20 | train 0.0018 | val 0.0025 | lr 8.2e-04 (31s)
  ep  21 | train 0.0017 | val 0.0021 | lr 8.2e-04 (31s) *best
  ep  22 | train 0.0017 | val 0.0017 | lr 8.2e-04 (31s) *best
  ep  23 | train 0.0015 | val 0.0019 | lr 8.2e-04 (31s)
  ep  24 | train 0.0015 | val 0.0019 | lr 8.2e-04 (31s)
  ep  25 | train 0.0014 | val 0.0017 | lr 8.2e-04 (31s) *best
  ep  26 | train 0.0013 | val 0.0018 | lr 8.2e-04 (31s)
  ep  27 | train 0.0014 | val 0.0017 | lr 8.2e-04 (31s) *best
  ep  28 | train 0.0017 | val 0.0025 | lr 8.2e-04 (31s)
  ep  29 | train 0.0019 | val 0.0021 | lr 8.2e-04 (31s)
  ep  30 | train 0.0014 | val 0.0015 | lr 8.2e-04 (31s) *best
  ep  31 | train 0.0013 | val 0.0016 | lr 8.2e-04 (31s)
  ep  32 | train 0.0012 | val 0.0015 | lr 8.2e-04 (31s)
  ep  33 | train 0.0013 | val 0.0014 | lr 8.2e-04 (31s) *best
  ep  34 | train 0.0012 | val 0.0018 | lr 8.2e-04 (31s)
  ep  35 | train 0.0013 | val 0.0017 | lr 8.2e-04 (31s)
  ep  36 | train 0.0015 | val 0.0017 | lr 8.2e-04 (31s)
  ep  37 | train 0.0013 | val 0.0017 | lr 8.2e-04 (31s)
  ep  38 | train 0.0014 | val 0.0015 | lr 8.2e-04 (31s)
  early stop at epoch 38 (no improvement for 5 epochs)

=== sweep run 9/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 4), 'lr': 0.000947907812842791, 'alpha': 0.8478807533549113, 'sched_patience': 3, 'use_beam': False} ===
  ep   1 | train 0.0877 | val 0.0291 | lr 9.5e-04 (9s) *best
  ep   2 | train 0.0192 | val 0.0213 | lr 9.5e-04 (9s) *best
  ep   3 | train 0.0173 | val 0.0233 | lr 9.5e-04 (9s)
  ep   4 | train 0.0148 | val 0.0176 | lr 9.5e-04 (9s) *best
  ep   5 | train 0.0111 | val 0.0123 | lr 9.5e-04 (9s) *best
  ep   6 | train 0.0089 | val 0.0111 | lr 9.5e-04 (9s) *best
  ep   7 | train 0.0073 | val 0.0086 | lr 9.5e-04 (9s) *best
  ep   8 | train 0.0061 | val 0.0074 | lr 9.5e-04 (9s) *best
  ep   9 | train 0.0056 | val 0.0071 | lr 9.5e-04 (9s) *best
  ep  10 | train 0.0051 | val 0.0063 | lr 9.5e-04 (9s) *best
  ep  11 | train 0.0049 | val 0.0055 | lr 9.5e-04 (9s) *best
  ep  12 | train 0.0042 | val 0.0050 | lr 9.5e-04 (9s) *best
  ep  13 | train 0.0039 | val 0.0051 | lr 9.5e-04 (9s)
  ep  14 | train 0.0039 | val 0.0051 | lr 9.5e-04 (9s)
  ep  15 | train 0.0038 | val 0.0047 | lr 9.5e-04 (9s) *best
  ep  16 | train 0.0037 | val 0.0049 | lr 9.5e-04 (9s)
  ep  17 | train 0.0034 | val 0.0044 | lr 9.5e-04 (9s) *best
  ep  18 | train 0.0034 | val 0.0045 | lr 9.5e-04 (9s)
  ep  19 | train 0.0040 | val 0.0045 | lr 9.5e-04 (9s)
  ep  20 | train 0.0032 | val 0.0042 | lr 9.5e-04 (9s) *best
  ep  21 | train 0.0031 | val 0.0041 | lr 9.5e-04 (9s) *best
  ep  22 | train 0.0030 | val 0.0035 | lr 9.5e-04 (9s) *best
  ep  23 | train 0.0027 | val 0.0033 | lr 9.5e-04 (9s) *best
  ep  24 | train 0.0028 | val 0.0032 | lr 9.5e-04 (9s) *best
  ep  25 | train 0.0029 | val 0.0037 | lr 9.5e-04 (9s)
  ep  26 | train 0.0029 | val 0.0033 | lr 9.5e-04 (9s)
  ep  27 | train 0.0027 | val 0.0030 | lr 9.5e-04 (9s) *best
  ep  28 | train 0.0024 | val 0.0030 | lr 9.5e-04 (9s)
  ep  29 | train 0.0025 | val 0.0028 | lr 9.5e-04 (9s) *best
  ep  30 | train 0.0026 | val 0.0032 | lr 9.5e-04 (9s)
  ep  31 | train 0.0024 | val 0.0026 | lr 9.5e-04 (9s) *best
  ep  32 | train 0.0023 | val 0.0027 | lr 9.5e-04 (9s)
  ep  33 | train 0.0023 | val 0.0026 | lr 9.5e-04 (9s)
  ep  34 | train 0.0022 | val 0.0026 | lr 9.5e-04 (9s)
  ep  35 | train 0.0022 | val 0.0026 | lr 4.7e-04 (10s)
  ep  36 | train 0.0019 | val 0.0023 | lr 4.7e-04 (9s) *best
  ep  37 | train 0.0019 | val 0.0023 | lr 4.7e-04 (9s) *best
  ep  38 | train 0.0018 | val 0.0023 | lr 4.7e-04 (9s) *best
  ep  39 | train 0.0018 | val 0.0023 | lr 4.7e-04 (9s) *best
  ep  40 | train 0.0017 | val 0.0022 | lr 4.7e-04 (9s) *best
  ep  41 | train 0.0017 | val 0.0021 | lr 4.7e-04 (9s) *best
  ep  42 | train 0.0017 | val 0.0022 | lr 4.7e-04 (9s)
  ep  43 | train 0.0018 | val 0.0021 | lr 4.7e-04 (9s)
  ep  44 | train 0.0017 | val 0.0021 | lr 4.7e-04 (9s)
  ep  45 | train 0.0016 | val 0.0023 | lr 2.4e-04 (9s)
  ep  46 | train 0.0016 | val 0.0021 | lr 2.4e-04 (9s) *best
  ep  47 | train 0.0015 | val 0.0020 | lr 2.4e-04 (9s) *best
  ep  48 | train 0.0015 | val 0.0021 | lr 2.4e-04 (9s)
  ep  49 | train 0.0016 | val 0.0023 | lr 2.4e-04 (9s)
  ep  50 | train 0.0016 | val 0.0022 | lr 2.4e-04 (9s)
  ep  51 | train 0.0016 | val 0.0020 | lr 2.4e-04 (9s) *best
  ep  52 | train 0.0015 | val 0.0020 | lr 2.4e-04 (9s) *best
  ep  53 | train 0.0015 | val 0.0020 | lr 2.4e-04 (9s) *best
  ep  54 | train 0.0015 | val 0.0020 | lr 2.4e-04 (9s)
  ep  55 | train 0.0015 | val 0.0020 | lr 2.4e-04 (9s) *best
  ep  56 | train 0.0014 | val 0.0019 | lr 2.4e-04 (9s) *best
  ep  57 | train 0.0014 | val 0.0020 | lr 2.4e-04 (9s)
  ep  58 | train 0.0014 | val 0.0019 | lr 2.4e-04 (9s) *best
  ep  59 | train 0.0014 | val 0.0019 | lr 2.4e-04 (9s)
  ep  60 | train 0.0014 | val 0.0018 | lr 2.4e-04 (9s) *best

=== sweep run 10/12: {'base_channels': 16, 'channel_multipliers': (1, 2, 2, 4), 'lr': 0.0002573953621816343, 'alpha': 0.7860579999189801, 'sched_patience': 5, 'use_beam': False} ===
  ep   1 | train 0.1707 | val 0.0654 | lr 2.6e-04 (9s) *best
  ep   2 | train 0.0399 | val 0.0363 | lr 2.6e-04 (9s) *best
  ep   3 | train 0.0254 | val 0.0294 | lr 2.6e-04 (9s) *best
  ep   4 | train 0.0195 | val 0.0253 | lr 2.6e-04 (9s) *best
  ep   5 | train 0.0162 | val 0.0219 | lr 2.6e-04 (9s) *best
  ep   6 | train 0.0139 | val 0.0199 | lr 2.6e-04 (9s) *best
  ep   7 | train 0.0120 | val 0.0158 | lr 2.6e-04 (9s) *best
  ep   8 | train 0.0100 | val 0.0127 | lr 2.6e-04 (9s) *best
  ep   9 | train 0.0087 | val 0.0111 | lr 2.6e-04 (9s) *best
  ep  10 | train 0.0089 | val 0.0107 | lr 2.6e-04 (9s) *best
  ep  11 | train 0.0084 | val 0.0100 | lr 2.6e-04 (9s) *best
  ep  12 | train 0.0073 | val 0.0092 | lr 2.6e-04 (9s) *best
  ep  13 | train 0.0068 | val 0.0086 | lr 2.6e-04 (9s) *best
  ep  14 | train 0.0063 | val 0.0083 | lr 2.6e-04 (9s) *best
  ep  15 | train 0.0061 | val 0.0077 | lr 2.6e-04 (9s) *best
  ep  16 | train 0.0061 | val 0.0077 | lr 2.6e-04 (9s)
  ep  17 | train 0.0058 | val 0.0076 | lr 2.6e-04 (9s) *best
  ep  18 | train 0.0056 | val 0.0078 | lr 2.6e-04 (9s)
  ep  19 | train 0.0054 | val 0.0076 | lr 2.6e-04 (9s) *best
  ep  20 | train 0.0053 | val 0.0070 | lr 2.6e-04 (9s) *best
  ep  21 | train 0.0054 | val 0.0070 | lr 2.6e-04 (9s)
  ep  22 | train 0.0052 | val 0.0067 | lr 2.6e-04 (9s) *best
  ep  23 | train 0.0050 | val 0.0064 | lr 2.6e-04 (9s) *best
  ep  24 | train 0.0048 | val 0.0070 | lr 2.6e-04 (9s)
  ep  25 | train 0.0045 | val 0.0059 | lr 2.6e-04 (9s) *best
  ep  26 | train 0.0045 | val 0.0058 | lr 2.6e-04 (9s) *best
  ep  27 | train 0.0044 | val 0.0059 | lr 2.6e-04 (9s)
  ep  28 | train 0.0050 | val 0.0061 | lr 2.6e-04 (9s)
  ep  29 | train 0.0047 | val 0.0055 | lr 2.6e-04 (9s) *best
  ep  30 | train 0.0041 | val 0.0056 | lr 2.6e-04 (9s)
  ep  31 | train 0.0041 | val 0.0057 | lr 2.6e-04 (9s)
